Teams:10,Rounds:15,Total drafts:675
Start date,August 27, 2016
End date,August 28, 2016

ADP,Overall,Name,Position,Team,Times Drafted,Bye
11.08,108.2,Christine Michael,RB,SEA,288,5
12.02,111.9,Tyrod Taylor,QB,BUF,163,10
12.03,113.0,Jay Ajayi,RB,MIA,209,8
12.06,115.7,Carolina Defense,DEF,CAR,159,7
12.06,116.0,Matthew Stafford,QB,DET,138,10
12.06,116.1,Dion Lewis,RB,NE,169,9
12.06,116.3,Martellus Bennett,TE,NE,241,9
12.07,116.7,Torrey Smith,WR,SF,79,8
12.08,118.5,Markus Wheaton,WR,PIT,139,8
12.09,118.8,Isaiah Crowell,RB,CLE,189,13
12.09,119.1,Stephen Gostkowski,PK,NE,238,9
12.09,119.3,Jameis Winston,QB,TB,192,6
12.10,119.8,Tavon Austin,WR,LA,153,8
13.01,120.9,Tevin Coleman,RB,ATL,157,11
13.01,120.9,Jimmy Graham,TE,SEA,129,5
13.01,121.3,Kansas City Defense,DEF,KC,139,5
13.02,122.3,Dwayne Allen,TE,IND,151,10
13.04,124.3,Steve Smith,WR,BAL,117,8
13.04,124.4,Jared Cook,TE,GB,119,4
13.05,125.1,Houston Defense,DEF,HOU,175,9
13.05,125.4,Darren Sproles,RB,PHI,149,4
13.06,125.6,Jason Witten,TE,DAL,37,7
13.06,125.8,Vincent Jackson,WR,TB,133,6
13.06,126.2,Rishard Matthews,WR,TEN,46,13
13.07,126.7,Mohamed Sanu,WR,ATL,85,11
13.07,126.8,DeAndre Washington,RB,OAK,106,10
13.07,127.1,Alfred Morris,RB,DAL,144,7
13.07,127.4,Tyler Boyd,WR,CIN,51,9
13.08,128.1,Zach Miller,TE,CHI,34,9
13.08,128.4,Dak Prescott,QB,DAL,70,7
13.08,128.4,Andy Dalton,QB,CIN,134,9
13.09,129.0,Tajae Sharpe,WR,TEN,105,13
13.09,129.0,Chris Hogan,WR,NE,37,9
13.09,129.4,Sammie Coates,WR,PIT,29,8
13.10,129.5,Terrelle Pryor,WR,CLE,21,13
13.10,129.6,Steven Hauschka,PK,SEA,89,5
13.10,129.9,Minnesota Defense,DEF,MIN,123,6
14.01,131.4,Spencer Ware,RB,SEA,73,5
14.02,131.6,Kenny Stills,WR,MIA,21,8
14.02,131.6,Phillip Dorsett,WR,IND,26,10
14.03,132.7,Matt Ryan,QB,ATL,44,11
14.03,132.9,Will Fuller,WR,HOU,22,9
14.03,133.1,Devontae Booker,RB,DEN,54,11
14.03,133.2,Marcus Mariota,QB,TEN,113,13
14.04,134.0,Jerick McKinnon,RB,MIN,32,6
14.05,135.2,Justin Tucker,PK,BAL,100,8
14.05,135.2,Los Angeles Defense,DEF,LA,100,8
14.07,136.5,NY Jets Defense,DEF,NYJ,101,11
14.09,139.3,New England Defense,DEF,NE,86,9
14.09,139.4,Graham Gano,PK,CAR,108,7
14.10,139.6,Cincinnati Defense,DEF,CIN,50,9
14.10,139.7,Philadelphia Defense,DEF,PHI,38,4
14.10,140.2,Oakland Defense,DEF,OAK,40,10
15.01,140.7,Mason Crosby,PK,GB,93,4
15.02,141.8,Chandler Catanzaro,PK,ARI,120,9
15.02,142.0,Dan Bailey,PK,DAL,90,7
15.02,142.4,Brandon McManus,PK,DEN,69,11
15.03,143.0,Chris Boswell,PK,PIT,47,8
15.04,143.9,Blair Walsh,PK,MIN,62,6
15.04,144.3,Cairo Santos,PK,KC,41,5
15.05,145.0,Adam Vinatieri,PK,IND,38,10
